STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/2/18,11.41,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",36,"H,,S",44,",,W",27,",,W",,,290,",,W",220,",,W",21,",,W",25.9,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/3/18,8.28,",,W",0,",,W,2400",,,0,",,W",0,",,W",37,"H,,S",46,",,W",29,",,W",,,200,",,W",210,",,W",18.1,",,W",25.1,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/4/18,7.61,",,W",0.08,",,W,2400",,,0,",,W",0,",,W",41,"H,,S",45,",,W",35,",,W",,,220,",,W",230,",,W",15,",,W",19,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/5/18,7.61,",,W",0.45,",,W,2400",,,0,",,W",0,",,W",42,"H,,S",46,",,W",39,",,W",,,60,",,W",60,",,W",13,",,W",14.1,",,W",1,",,W",1,",,W",,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/6/18,11.86,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",41,"H,,S",47,",,W",34,",,W",,,70,",,W",70,",,W",18.1,",,W",23,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/7/18,12.53,",,W",0.38,",,W,2400",,,0,",,W",0,",,W",41,"H,,S",53,",,W",36,",,W",,,200,",,W",210,",,W",23,",,W",29.1,",,W",1,",,W",,,1,",,W",,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/8/18,17.9,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",46,"H,,S",51,",,W",41,",,W",,,230,",,W",230,",,W",28,",,W",34,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/9/18,8.5,",,W",0,",,W,2400",,,0,",,W",0,",,W",45,"H,,S",56,",,W",38,",,W",,,200,",,W",190,",,W",18.1,",,W",23,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/10/18,9.17,",,W",0.13,",,W,2400",,,0,",,W",0,",,W",47,"H,,S",54,",,W",40,",,W",,,230,",,W",260,",,W",19.9,",,W",23,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/11/18,9.62,",,W",0.08,",,W,2400",,,0,",,W",0,",,W",46,"H,,S",55,",,W",39,",,W",,,220,",,W",220,",,W",21,",,W",25.1,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/12/18,19.91,",,W",0.31,",,W,2400",,,0,"T,,W",0,",,W",43,"H,,S",51,",,W",35,",,W",,,240,",,W",240,",,W",33.1,",,W",42.9,",,W",1,",,W",,,,,,,1,",,W",,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/13/18,12.75,",,W",0.07,",,W,2400",,,0,",,W",0,",,W",40,"H,,S",45,",,W",32,",,W",,,200,",,W",200,",,W",21.9,",,W",28,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/14/18,12.53,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",45,"H,,S",52,",,W",41,",,W",,,200,",,W",210,",,W",21,",,W",27.1,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/15/18,9.17,",,W",0.39,",,W,2400",,,0,",,W",0,",,W",47,"H,,S",56,",,W",42,",,W",,,280,",,W",270,",,W",17,",,W",19.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/16/18,17.67,",,W",0.07,",,W,2400",,,0,"T,,W",0,",,W",45,"H,,S",48,",,W",36,",,W",,,220,",,W",230,",,W",32,",,W",36.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/17/18,18.34,",,W",0,"T,,W,2400",,,0,"T,,W",0,",,W",42,"H,,S",52,",,W",36,",,W",,,250,",,W",250,",,W",32,",,W",38.9,",,W",1,",,W",,,,,,,,,,,,,,,,
